,limonene_qtof_67,limonene_qtof_93,limonene_qtof_79,sec.butylbenzene_qtof_105,sec.butylbenzene_qtof_79,sec.butylbenzene_qtof_91,results,well,cl,C_predunweigthed,C_predX,C_predX2,LODunweigthed,LODX,LODX2,DTS,RBS,FC,Sample_ID,OD_induction,OD_harvest
MVARBS219 TB_Glc_amp_kan 25uMIPTG_200nMaTet_79.mzXML,925870.092773438,646208.66595459,536954.681640625,16926193.8483887,2983153.08105469,2889642.42871094,0.0381780258,79,sample,-22.3553956937,-0.7803944789,7.8324564572,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS219,1.5040848184,MVARBS219 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.881,2.001
MVARBS220 TB_Glc_amp_kan 25uMIPTG_200nMaTet_91.mzXML,193209.424316406,64816.190612793,219050.850097656,20700667.4919434,3907465.91308594,3672983.51220703,0.003131116,91,sample,-36.7158239175,-13.4258972707,-2.9432625817,<LOD,<LOD,<LOD,170731xxxLIM01.xls,MVARBS220,0.1233553568,MVARBS220 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.571,2.36
MVARBS221 TB_Glc_amp_kan 25uMIPTG_200nMaTet_8.mzXML,1105770.77148438,726315.202209473,620942.5703125,18290851.3395996,3275158.17626953,3177528.50341797,0.039709207,8,sample,-21.7279960885,-0.2279190697,8.3032419912,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS221,1.5644081671,MVARBS221 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.089,2.355
MVARBS222 TB_Glc_amp_kan 25uMIPTG_200nMaTet_20.mzXML,1793799.05761719,1213631.75256348,852240.289550781,25426976.7766113,4847271.75927734,4680886.00927734,0.0477300846,20,sample,-18.441451359,2.6661457802,10.7693859016,<LOD,NA,NA,170731xxxLIM01.xls,MVARBS222,1.8804035583,MVARBS222 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.584,1.639
MVARBS223 TB_Glc_amp_kan 25uMIPTG_200nMaTet_32.mzXML,859181.498291016,612714.026733398,465690.223632812,18575230.0511475,3191411.61499023,3160573.71362305,0.0329855418,32,sample,-24.4830096533,-2.6539283212,6.235946249,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS223,1.2995185456,MVARBS223 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.762,1.52
MVARBS224 TB_Glc_amp_kan 25uMIPTG_200nMaTet_44.mzXML,967935.754150391,652025.296447754,535575.31640625,15932773.9000244,2697304.19335938,2679948.32910156,0.0409235266,44,sample,-21.2304301306,0.2102274543,8.6766034873,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS224,1.6122482431,MVARBS224 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.952,2.069
MVARBS225 TB_Glc_amp_kan 25uMIPTG_200nMaTet_56.mzXML,773100.778320312,538572.860595703,457228.4296875,16708241.1844482,2866122.14550781,2850517.38134766,0.0322339649,56,sample,-24.7909673341,-2.9251096293,6.0048622318,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS225,1.269908966,MVARBS225 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.508,1.506
MVARBS226 TB_Glc_amp_kan 25uMIPTG_200nMaTet_68.mzXML,1277436.19628906,825332.462890625,702282.11328125,20101040.0754395,3666612.54248047,3548431.10058594,0.041059192,68,sample,-21.1748414178,0.259177751,8.7183159168,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS226,1.6175929983,MVARBS226 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.955,2.153
MVARBS227 TB_Glc_amp_kan 25uMIPTG_200nMaTet_80.mzXML,331974.372070312,181655.91394043,260218.69921875,17563058.0488281,3093988.82177734,2975037.21533203,0.0103430686,80,sample,-33.760735202,-10.8237058862,-0.7258352713,<LOD,<LOD,<LOD,170731xxxLIM01.xls,MVARBS227,0.4074818458,MVARBS227 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.042,2.223
MVARBS228 TB_Glc_amp_kan 25uMIPTG_200nMaTet_92.mzXML,1475755.54248047,915094.959960938,707676.029296875,22761488.3847656,4296879.34277344,4118664.15429688,0.0402036521,92,sample,-21.5253978263,-0.0495151357,8.4552668415,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS228,1.5838876272,MVARBS228 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.073,1.613
MVARBS229 TB_Glc_amp_kan 25uMIPTG_200nMaTet_9.mzXML,186856.297851562,83801.5260620117,187024.469726562,17034381.3037109,2981775.40185547,2912010.50073242,0.0049195521,9,sample,-35.983014419,-12.7806000403,-2.3933800057,<LOD,<LOD,<LOD,170731xxxLIM01.xls,MVARBS229,0.193813678,MVARBS229 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.747,2.396
MVARBS230 TB_Glc_amp_kan 25uMIPTG_200nMaTet_21.mzXML,824593.095214844,549344.517822266,506273.172363281,17447540.0554199,3037454.74365234,2965284.55126953,0.0314854997,21,sample,-25.097650032,-3.1951682134,5.7747349309,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS230,1.2404219737,MVARBS230 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.669,1.789
MVARBS231 TB_Glc_amp_kan 25uMIPTG_200nMaTet_33.mzXML,1337879.12255859,855556.690063477,664637.56640625,21442229.27771,3867358,3761003.28320312,0.0399005476,33,sample,-21.6495945142,-0.1588802283,8.3620726419,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS231,1.5719463381,MVARBS231 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.166,2.057
MVARBS232 TB_Glc_amp_kan 25uMIPTG_200nMaTet_45.mzXML,849498.623535156,598889.685546875,478106.165039062,16194561.0775757,2734757.86474609,2718316.22436523,0.0369809149,45,sample,-22.845910413,-1.2123318248,7.4643860405,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS232,1.4569227064,MVARBS232 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.844,1.998
MVARBS233 TB_Glc_amp_kan 25uMIPTG_200nMaTet_57.mzXML,1150083.52246094,743260.99230957,658083.591796875,21003864.6794434,3864413.25683594,3662171.87207031,0.0353868683,57,sample,-23.4990690774,-1.7874901408,6.9742715296,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS233,1.3941226703,MVARBS233 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.7,1.727
MVARBS234 TB_Glc_amp_kan 25uMIPTG_200nMaTet_69.mzXML,214448.9140625,81019.7808837891,157859.245605469,22022634.9396973,4090535.52246094,3965458.49853516,0.0036789322,69,sample,-36.4913568902,-13.2282361441,-2.7748279374,<LOD,<LOD,<LOD,170731xxxLIM01.xls,MVARBS234,0.1449374596,MVARBS234 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.735,2.529
MVARBS235 TB_Glc_amp_kan 25uMIPTG_200nMaTet_81.mzXML,1626825.74853516,1049018.1237793,799683.759277344,26001750.7617188,4961840.45263672,4737801.09130859,0.0403441343,81,sample,-21.4678354271,0.0011731494,8.4984602778,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS235,1.5894221489,MVARBS235 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.82,1.48
MVARBS236 TB_Glc_amp_kan 25uMIPTG_200nMaTet_93.mzXML,1436317.64599609,961117.817382812,727334.337402344,24708748.5209961,4635266.18505859,4451673.60351562,0.0388978752,93,sample,-22.0604382819,-0.5206609448,8.0537853861,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS236,1.5324444454,MVARBS236 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.815,1.822
MVARBS237 TB_Glc_amp_kan 25uMIPTG_200nMaTet_10.mzXML,1120573.87646484,770767.985412598,604556.387207031,17004179.8986816,2901349.35791016,2867815.42431641,0.0453281481,10,sample,-19.4256418693,1.7994875126,10.0308730762,<LOD,NA,NA,170731xxxLIM01.xls,MVARBS237,1.7857754029,MVARBS237 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.135,1.952
MVARBS238 TB_Glc_amp_kan 25uMIPTG_200nMaTet_22.mzXML,2103407.49707031,1339558.96313477,1013732.69970703,28048917.9873047,5540755.95654297,5257471.25830078,0.047757955,22,sample,-18.4300314937,2.6762018827,10.7779550931,<LOD,NA,NA,170731xxxLIM01.xls,MVARBS238,1.8815015579,MVARBS238 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.089,1.805
MVARBS239 TB_Glc_amp_kan 25uMIPTG_200nMaTet_34.mzXML,215314.439941406,95650.0588378906,169827.08203125,25719586.0195312,4962458.35644531,4703980.91308594,0.0037189579,34,sample,-36.4749563907,-13.2137941958,-2.7625213981,<LOD,<LOD,<LOD,170731xxxLIM01.xls,MVARBS239,0.1465143382,MVARBS239 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.904,2.318
MVARBS240 TB_Glc_amp_kan 25uMIPTG_200nMaTet_46.mzXML,197430.223144531,69921.4051513672,218202.813476562,20299052.5371094,3771537.36230469,3649066.17529297,0.003444565,46,sample,-36.5873885788,-13.3127997078,-2.8468878008,<LOD,<LOD,<LOD,170731xxxLIM01.xls,MVARBS240,0.1357041846,MVARBS240 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.911,2.512
MVARBS241 TB_Glc_amp_kan 25uMIPTG_200nMaTet_58.mzXML,1106738.19970703,702960.384033203,560054.721679688,22904015.6315918,4309161.29492188,4223853.89306641,0.0306915781,58,sample,-25.422958456,-3.4816282353,5.5306313343,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS241,1.2091441512,MVARBS241 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.567,1.764
MVARBS242 TB_Glc_amp_kan 25uMIPTG_200nMaTet_70.mzXML,731653.072265625,503495.877746582,433140.099121094,15776543.4981689,2697381.68310547,2654978.34863281,0.0319142072,70,sample,-24.9219876852,-3.0404835019,5.9065477198,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS242,1.2573115939,MVARBS242 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.513,1.645
MVARBS243 TB_Glc_amp_kan 25uMIPTG_200nMaTet_82.mzXML,1313381.70214844,880804.317260742,652284.37109375,21249029.6523438,3821623.38623047,3757909.56103516,0.0414515077,82,sample,-21.014090503,0.400731757,8.8389395268,<LOD,NA,NA,170731xxxLIM01.xls,MVARBS243,1.6330489109,MVARBS243 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.878,2.139
MVARBS244 TB_Glc_amp_kan 25uMIPTG_200nMaTet_94.mzXML,883826.901367188,590933.241699219,503934.698242188,16931432.5540771,2928150.79003906,2825145.92089844,0.0349015501,94,sample,-23.6979275922,-1.9626009289,6.8250528956,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS244,1.3750027801,MVARBS244 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.743,1.984
MVARBS245 TB_Glc_amp_kan 25uMIPTG_200nMaTet_11.mzXML,1095240.24462891,694205.966186523,566718.325195312,21126994.7845459,3807857.19238281,3734970.24658203,0.0328587181,11,sample,-24.534975491,-2.6996883873,6.1969523376,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS245,1.2945221234,MVARBS245 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.571,1.127
MVARBS246 TB_Glc_amp_kan 25uMIPTG_200nMaTet_23.mzXML,939731.987792969,618888.10925293,514219.6953125,21575431.7525635,3903331.22070312,3798910.78076172,0.028684854,23,sample,-26.2452111898,-4.2056873705,4.9136327114,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS246,1.1300860231,MVARBS246 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.61,1.641
MVARBS247 TB_Glc_amp_kan 25uMIPTG_200nMaTet_35.mzXML,1453827.07275391,942224.569702148,689747.804199219,23565671.8977051,4413086.17480469,4311627.03808594,0.0399829283,35,sample,-21.6158391281,-0.1291559177,8.3874018696,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS247,1.575191858,MVARBS247 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.415,1.322
MVARBS248 TB_Glc_amp_kan 25uMIPTG_200nMaTet_47.mzXML,1191007.11279297,754603.495239258,606143.126953125,20970710.5531006,3888236.91601562,3740538.89208984,0.0359836875,47,sample,-23.2545231257,-1.5721479194,7.1577729145,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS248,1.4176353257,MVARBS248 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.548,1.873
MVARBS249 TB_Glc_amp_kan 25uMIPTG_200nMaTet_59.mzXML,1497344.56005859,965391.791748047,737672.8125,23460373.4165039,4458223.08251953,4300357.81347656,0.0411498903,59,sample,-21.1376778941,0.2919031987,8.7462025288,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS249,1.6211662045,MVARBS249 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.981,2.199
MVARBS250 TB_Glc_amp_kan 25uMIPTG_200nMaTet_71.mzXML,1716635.83105469,1113215.46948242,847763.420410156,25433916.2590332,4866962.27490234,4650894.66650391,0.0437689366,71,sample,-20.0645268598,1.2368983053,9.551469186,<LOD,NA,NA,170731xxxLIM01.xls,MVARBS250,1.724347755,MVARBS250 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.886,2.272
MVARBS251 TB_Glc_amp_kan 25uMIPTG_200nMaTet_83.mzXML,345421.17578125,138590.435058594,247260.091796875,26499519.1757812,5061952.31835938,4871291.35302734,0.0052299226,83,sample,-35.8558404693,-12.6686132311,-2.2979517406,<LOD,<LOD,<LOD,170731xxxLIM01.xls,MVARBS251,0.2060412256,MVARBS251 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.292,2.335
MVARBS252 TB_Glc_amp_kan 25uMIPTG_200nMaTet_95.mzXML,567833.81640625,318310.300048828,310259.431152344,22726148.6971436,4207094.63037109,4051906.16699219,0.0140063459,95,sample,-32.2597118181,-9.5019350381,0.400496479,<LOD,<LOD,NA,170731xxxLIM01.xls,MVARBS252,0.5518025566,MVARBS252 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.346,1.99
MVA2_1 TB_Glc_amp_kan 25uMIPTG_200nMaTet_1.mzXML1,540396.915527344,359778.377807617,298264.384277344,15619271.4851074,2585619.77099609,2620973.23681641,0.0230342611,1,sample,-10.8026143283,-0.5059811576,3.1584221686,<LOD,<LOD,NA,170731xxxLIM02.xls,1MVA2,1,MVA2_1 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.686,1.884
MVA2_2 TB_Glc_amp_kan 25uMIPTG_200nMaTet_13.mzXML1,528141.461181641,345994.213775635,282952.338623047,15178031.0009155,2496818.86474609,2534407.34057617,0.0227957245,13,sample,-10.8885443286,-0.5867908024,3.0826860963,<LOD,<LOD,NA,170731xxxLIM02.xls,1MVA2,0.9896442707,MVA2_2 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.869,1.948
MVA2_41_1 TB_Glc_amp_kan 25uMIPTG_200nMaTet_37.mzXML1,925315.888427734,670543.104492188,472175.371582031,17721546.2901611,2973210.99462891,3006325.76367188,0.0378377312,37,sample,-5.4698380213,4.5090282429,7.8585679909,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS41_2,1.6426718003,MVA2_41_1 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.71,1.738
MVA2_41_2 TB_Glc_amp_kan 25uMIPTG_200nMaTet_49.mzXML1,777220.811767578,537330.322265625,398899.827880859,15058195.7655029,2445988.93847656,2461971.02514648,0.0356835793,49,sample,-6.2458459561,3.7792606953,7.1746183476,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS41_2,1.5491523298,MVA2_41_2 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.583,1.475
MVA2_41_3 TB_Glc_amp_kan 25uMIPTG_200nMaTet_61.mzXML1,783818.528320312,523038.794799805,418569.492431641,14781601.8448486,2411705.66113281,2477462.20092773,0.0353844462,61,sample,-6.3536051435,3.6779226104,7.0796426979,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS41_2,1.5361658876,MVA2_41_3 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.448,1.493
MVARBS253 TB_Glc_amp_kan 25uMIPTG_200nMaTet_73.mzXML,992354.646972656,688875.106872559,514419.447021484,16694713.9771729,2822115.58862305,2800893.39770508,0.0412630673,73,sample,-4.235900882,5.6694381302,8.9461224196,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS253,1.7913779445,MVARBS253 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.25,1.691
MVARBS254 TB_Glc_amp_kan 25uMIPTG_200nMaTet_85.mzXML,782966.172363281,547752.392333984,416225.263916016,16387080.0494385,2735773.99414062,2761709.04931641,0.0334258691,85,sample,-7.0591595484,3.0144104416,6.4577886396,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS254,1.4511370221,MVARBS254 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.629,1.666
MVARBS255 TB_Glc_amp_kan 25uMIPTG_200nMaTet_2.mzXML,729000.935302734,498378.391845703,389467.662597656,14923698.5480347,2399586.31030273,2449054.19946289,0.0333950991,2,sample,-7.0702440749,3.0039864145,6.4480190772,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS255,1.4498011865,MVARBS255 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.705,1.851
MVARBS256 TB_Glc_amp_kan 25uMIPTG_200nMaTet_14.mzXML,745314.201171875,522949.407897949,395007.111572266,15722658.0183105,2649623.52905273,2621959.75952148,0.0332608779,14,sample,-7.1185957004,2.9585159424,6.4054034343,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS256,1.4439741605,MVARBS256 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.502,1.429
MVARBS257 TB_Glc_amp_kan 25uMIPTG_200nMaTet_26.mzXML,126056.875,44092.6362304688,99448.3078613281,15643780.0534668,2559106.49584961,2593496.03540039,0.002818541,26,sample,-18.085090165,-7.3545123313,-3.2601291468,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS257,0.1223629894,MVARBS257 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.519,2.873
MVARBS258 TB_Glc_amp_kan 25uMIPTG_200nMaTet_38.mzXML,782966.093505859,555161.678649902,430167.558105469,15755181.3704834,2592408.31933594,2645116.28955078,0.0352367685,38,sample,-6.4068042903,3.6278934687,7.0327545981,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS258,1.5297546696,MVARBS258 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.924,1.868
MVARBS259 TB_Glc_amp_kan 25uMIPTG_200nMaTet_50.mzXML,842583.321777344,574370.393737793,439014.114257812,15927211.4152832,2626396.34643555,2655377.54492188,0.0360622069,50,sample,-6.1094497896,3.9075293527,7.2948337542,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS259,1.5655899159,MVARBS259 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.001,1.974
MVARBS260 TB_Glc_amp_kan 25uMIPTG_200nMaTet_62.mzXML,827755.857910156,565916.163146973,434257.855712891,15172355.0365601,2461174.88256836,2503183.33764648,0.0372991643,62,sample,-5.6638504191,4.3265765625,7.6875714014,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS260,1.6192906776,MVARBS260 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.853,1.907
MVARBS261 TB_Glc_amp_kan 25uMIPTG_200nMaTet_74.mzXML,819780.345214844,556882.534118652,432478.032226562,15975341.2752686,2628349.81152344,2717753.48291016,0.0348588819,74,sample,-6.5429335184,3.4998758436,6.9127744629,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS261,1.5133492532,MVARBS261 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.721,1.815
MVARBS262 TB_Glc_amp_kan 25uMIPTG_200nMaTet_86.mzXML,725923.62890625,493694.312255859,383109.0078125,15091985.8875732,2495826.16137695,2511028.04956055,0.0327123492,86,sample,-7.3161967142,2.7726894827,6.2312439486,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS262,1.4201605609,MVARBS262 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.738,1.529
MVARBS263 TB_Glc_amp_kan 25uMIPTG_200nMaTet_3.mzXML,118791.01953125,47730.860534668,90903.4235839844,17919757.7744141,3031534.08276367,3047688.27856445,0.0026635885,3,sample,-18.1409100054,-7.4070060059,-3.3093270457,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS263,0.1156359423,MVARBS263 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.639,2.346
MVARBS264 TB_Glc_amp_kan 25uMIPTG_200nMaTet_15.mzXML,853083.750976562,599370.400024414,429589.029052734,14969437.6932373,2478985.49145508,2524941.21044922,0.0400396069,15,sample,-4.6766381564,5.2549632963,8.5576700751,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS264,1.7382631313,MVARBS264 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.207,2.291
MVARBS265 TB_Glc_amp_kan 25uMIPTG_200nMaTet_27.mzXML,932567.969482422,655671.048309326,471529.161376953,17132959.2675781,2837328.58837891,2890010.04858398,0.0382695738,27,sample,-5.314271801,4.6553246582,7.9956792962,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS265,1.6614196376,MVARBS265 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.09,1.968
MVARBS266 TB_Glc_amp_kan 25uMIPTG_200nMaTet_39.mzXML,761899.467285156,500484.274658203,397767.113525391,15126296.723938,2477683.61108398,2527952.26074219,0.0330870327,39,sample,-7.1812213688,2.8996219822,6.3502070869,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS266,1.4364269189,MVARBS266 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.109,1.777
MVARBS267 TB_Glc_amp_kan 25uMIPTG_200nMaTet_51.mzXML,217412.301757812,111664.509338379,142472.477539062,15296539.6651611,2519756.27587891,2584629.88378906,0.0072999849,51,sample,-16.4707026083,-5.8363221228,-1.8372573641,<LOD,<LOD,<LOD,170731xxxLIM02.xls,MVARBS267,0.3169185638,MVARBS267 TB_Glc_amp_kan 25uMIPTG_200nMaTet,1.199,2.326
MVARBS268 TB_Glc_amp_kan 25uMIPTG_200nMaTet_63.mzXML,812807.051757812,545859.506103516,413510.344726562,15375367.5089111,2551969.00048828,2579172.35131836,0.0355022087,63,sample,-6.3111825757,3.7178173226,7.1170326508,<LOD,NA,NA,170731xxxLIM02.xls,MVARBS268,1.5412783818,MVARBS268 TB_Glc_amp_kan 25uMIPTG_200nMaTet,0.94,1.891
